name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"[PR]КОЛИЧЕСТВО ОБОРОТОВ КОЛЕНЧАТОГО ВАЛА","PR1232","22210E","signed(A*16777216+B*65536+C*256+D)+2147483648","0","0","","7E0"
"[PR]ТОРМОЗ № 1 ДЛИТЕЛЬНОСТЬ КОНТАКТА","PR1129","22206A","(A*256+B)","0","0","s","7E0"
"[PR]ТОРМОЗ № 2 ДЛИТЕЛЬНОСТЬ КОНТАКТА","PR1153","22206B","(A*256+B)","0","0","s","7E0"
"[PR]ПРОБЕГ А/М ПРИ ПОСЛЕДНЕМ ПОЯВЛ. НЕИСПР.","PR804","190680","(E*65536+F*256+G)","0","0","km","7E0"
"[PR]ЧИСЛО СЛУЧАЕВ ПОЯВЛЕНИЕ НЕИСПРАВНОСТИ","PR806","190684","E","0","0","","7E0"
"[PR]ПРОБЕГ А/М ПРИ ПЕРВОМ ПОЯВЛЕН НЕИСПРАВН","PR869","190687","(E*65536+F*256+G)","0","0","km","7E0"
"[PR]ПРОБЕГ С ПРИСУТСТВУЮЩЕЙ НЕИСПРАВНОСТЬЮ","PR870","190686","(E*65536+F*256+G)","0","0","km","7E0"
"[ST]СТАТИЧЕСКАЯ РЕГЕНЕРАЦИЯ","ET702","222434","(A&7)","0","0","","7E0"
"[ST]ДВИГАТЕЛЬ","ET038","222010","A","0","0","","7E0"
"[ST]КОМАНДА РЕГЕНЕРАЦИИ","ET824","22246D","A","0","0","","7E0"
"[ST]РАЗРЕШЕНИЕ РЕГЕНЕРАЦИИ","ET825","222166","{A:0}","0","0","","7E0"
"[ST]ЗАПРОГР. ОТКРЫТИЕ ПЕРВОГО ВПУСК. КЛАПАНА","ET827","222477","{A:0}","0","0","","7E0"
"[ST]ЗАПРОГР. ЗАКРЫТИЕ ПЕРВОГО ВПУСК. КЛАПАНА","ET828","222478","{A:0}","0","0","","7E0"
"[ST]КОМАНДА РЕЛЕ ПРЕДВАР. ПОДОГРЕВА","ET160","22201A","{A:0}","0","0","","7E0"
